Class Label, Alcohol, Total phenols, Color intensity
1,14.23,2.8,5.64
1,13.2,2.65,4.38
1,13.16,2.8,5.68
1,14.37,3.85,7.8
1,13.24,2.8,4.32
1,14.2,3.27,6.75
1,14.39,2.5,5.25
1,14.06,2.6,5.05
1,14.83,2.8,5.2
1,13.86,2.98,7.22
1,14.1,2.95,5.75
1,14.12,2.2,5
1,13.75,2.6,5.6
1,14.75,3.1,5.4
1,14.38,3.3,7.5
1,13.63,2.85,7.3
1,14.3,2.8,6.2
1,13.83,2.95,6.6
1,14.19,3.3,8.7
1,13.64,2.7,5.1
1,14.06,3,5.65
1,12.93,2.41,4.5
1,13.71,2.61,3.8
1,12.85,2.48,3.93
1,13.5,2.53,3.52
1,13.05,2.63,3.58
1,13.39,2.85,4.8
1,13.3,2.4,3.95
1,13.87,2.95,4.5
1,14.02,2.65,4.7
1,13.73,3,5.7
1,13.58,2.86,6.9
1,13.68,2.42,3.84
1,13.76,2.95,5.4
1,13.51,2.35,4.2
1,13.48,2.7,5.1
1,13.28,2.6,4.6
1,13.05,2.45,4.25
1,13.07,2.4,3.7
1,14.22,3,5.1
1,13.56,3.15,6.13
1,13.41,2.45,4.28
1,13.88,3.25,5.43
1,13.24,2.64,4.36
1,13.05,3,5.04
1,14.21,2.85,5.24
1,14.38,3.25,4.9
1,13.9,3.1,6.1
1,14.1,2.75,6.2
1,13.94,2.88,8.9
1,13.05,2.72,7.2
1,13.83,2.45,5.6
1,13.82,3.88,7.05
1,13.77,3,6.3
1,13.74,2.6,5.85
1,13.56,2.96,6.25
1,14.22,3.2,6.38
1,13.29,3,6
1,13.72,3.4,6.8
2,12.37,1.98,1.95
2,12.33,2.05,3.27
2,12.64,2.02,5.75
2,13.67,2.1,3.8
2,12.37,3.5,4.45
2,12.17,1.89,2.95
2,12.37,2.42,4.6
2,13.11,2.98,5.3
2,12.37,2.11,4.68
2,13.34,2.53,3.17
2,12.21,1.85,2.85
2,12.29,1.1,3.05
2,13.86,2.95,3.38
2,13.49,1.88,3.74
2,12.99,3.3,3.35
2,11.96,3.38,3.21
2,11.66,1.61,3.8
2,13.03,1.95,4.6
2,11.84,1.72,2.65
2,12.33,1.9,3.4
2,12.7,2.83,2.57
2,12,2.42,2.5
2,12.72,2.2,3.9
2,12.08,2,2.2
2,13.05,1.65,4.8
2,11.84,2.2,3.05
2,12.67,2.2,2.62
2,12.16,1.78,2.45
2,11.65,1.92,2.6
2,11.64,1.95,2.8
2,12.08,2.2,1.74
2,12.08,1.6,2.4
2,12,1.45,3.6
2,12.69,1.38,3.05
2,12.29,2.45,2.15
2,11.62,3.02,3.25
2,12.47,2.5,2.6
2,11.81,1.6,2.5
2,12.29,2.55,2.9
2,12.37,3.52,4.5
2,12.29,2.85,2.3
2,12.08,2.23,3.3
2,12.6,1.45,2.45
2,12.34,2.56,2.8
2,11.82,2.5,2.06
2,12.51,2.2,2.94
2,12.42,1.68,2.7
2,12.25,1.65,3.4
2,12.72,1.38,3.3
2,12.22,2.36,2.7
2,11.61,2.74,2.65
2,11.46,3.18,2.9
2,12.52,2.55,2
2,11.76,1.75,3.8
2,11.41,2.48,3.08
2,12.08,2.56,2.9
2,11.03,2.46,1.9
2,11.82,1.98,1.95
2,12.42,2,2.06
2,12.77,1.63,3.4
2,12,2,1.28
2,11.45,2.9,3.25
2,11.56,3.18,6
2,12.42,2.2,2.08
2,13.05,2.62,2.6
2,11.87,2.86,2.8
2,12.07,2.6,2.76
2,12.43,2.74,3.94
2,11.79,2.13,3
2,12.37,2.22,2.12
2,12.04,2.1,2.6
3,12.86,1.51,4.1
3,12.88,1.3,5.4
3,12.81,1.15,5.7
3,12.7,1.7,5
3,12.51,2,5.45
3,12.6,1.62,7.1
3,12.25,1.38,3.85
3,12.53,1.79,5
3,13.49,1.62,5.7
3,12.84,2.32,4.92
3,12.93,1.54,4.6
3,13.36,1.4,5.6
3,13.52,1.55,4.35
3,13.62,2,4.4
3,12.25,1.38,8.21
3,13.16,1.5,4
3,13.88,0.98,4.9
3,12.87,1.7,7.65
3,13.32,1.93,8.42
3,13.08,1.41,9.4
3,13.5,1.4,8.6
3,12.79,1.48,10.8
3,13.11,2.2,7.1
3,13.23,1.8,10.52
3,12.58,1.48,7.6
3,13.17,1.74,7.9
3,13.84,1.8,9.01
3,12.45,1.9,7.5
3,14.34,2.8,13
3,13.48,2.6,11.75
3,12.36,2.3,7.65
3,13.69,1.83,5.88
3,12.85,1.65,5.58
3,12.96,1.39,5.28
3,13.78,1.35,9.58
3,13.73,1.28,6.62
3,13.45,1.7,10.68
3,12.82,1.48,10.26
3,13.58,1.55,8.66
3,13.4,1.98,8.5
3,12.2,1.25,5.5
3,12.77,1.39,9.899999
3,14.16,1.68,9.7
3,13.71,1.68,7.7
3,13.4,1.8,7.3
3,13.27,1.59,10.2
3,13.17,1.65,9.3
3,14.13,2.05,9.2
3,13.536,1.754,8.74
3,13.222,1.57,8.4519998
